,fips,valid_start,valid_end,none,d0,d1,d2,d4,diff
47,1007,2012-05-01,2012-10-01,429.0199999999999,821.1500000000001,949.8299999999999,0.0,0.0,153 days 00:00:00.000000000
48,1007,2012-11-13,2012-12-31,398.23999999999995,250.45000000000002,51.309999999999995,0.0,0.0,48 days 00:00:00.000000000
49,1007,2013-06-11,2013-07-15,238.88,261.12,0.0,0.0,0.0,34 days 00:00:00.000000000
50,1007,2013-09-17,2013-10-07,217.18,82.82,0.0,0.0,0.0,20 days 00:00:00.000000000
51,1007,2013-10-22,2013-11-04,188.08,11.92,0.0,0.0,0.0,13 days 00:00:00.000000000
52,1007,2014-03-11,2014-04-07,399.8,0.2,0.0,0.0,0.0,27 days 00:00:00.000000000
53,1007,2014-07-15,2014-12-29,61.14,1102.27,1236.5900000000001,0.0,0.0,167 days 00:00:00.000000000
54,1007,2015-06-16,2015-11-09,902.08,1110.8500000000001,87.07,0.0,0.0,146 days 00:00:00.000000000
55,1007,2016-05-17,2017-05-22,657.6500000000001,1645.4200000000003,1175.8999999999999,787.7199999999998,338.35,370 days 00:00:00.000000000
56,1007,2017-10-03,2017-10-09,69.71000000000001,30.29,0.0,0.0,0.0,6 days 00:00:00.000000000
57,1007,2017-10-17,2018-01-01,402.32000000000005,690.1099999999999,7.57,0.0,0.0,76 days 00:00:00.000000000
58,1009,2010-04-20,2010-04-26,99.72,0.28,0.0,0.0,0.0,6 days 00:00:00.000000000
59,1009,2010-09-07,2011-03-28,8.470000000000004,1159.4599999999998,1718.1999999999998,13.830000000000002,0.0,202 days 00:00:00.000000000
60,1009,2011-06-07,2011-07-18,109.46000000000001,490.53999999999996,0.0,0.0,0.0,41 days 00:00:00.000000000
61,1009,2011-08-30,2011-09-05,0.010000000000005116,99.99,0.0,0.0,0.0,6 days 00:00:00.000000000
62,1009,2011-11-08,2011-11-28,292.54,7.46,0.0,0.0,0.0,20 days 00:00:00.000000000
63,1009,2012-04-24,2012-06-11,54.81,645.19,0.0,0.0,0.0,48 days 00:00:00.000000000
64,1009,2012-06-26,2012-09-03,154.32,592.1700000000001,249.64000000000001,3.87,0.0,69 days 00:00:00.000000000
65,1009,2012-12-04,2012-12-31,356.0599999999999,43.940000000000005,0.0,0.0,0.0,27 days 00:00:00.000000000
66,1009,2013-10-22,2013-12-09,15.11,485.42999999999995,199.46,0.0,0.0,48 days 00:00:00.000000000
67,1009,2014-01-28,2014-02-03,84.77,15.23,0.0,0.0,0.0,6 days 00:00:00.000000000
68,1009,2014-06-03,2014-06-09,91.19,8.81,0.0,0.0,0.0,6 days 00:00:00.000000000
69,1009,2014-07-29,2014-11-17,260.97,1219.8899999999999,119.14,0.0,0.0,111 days 00:00:00.000000000
70,1009,2015-02-10,2015-04-27,736.8799999999999,363.12000000000006,0.0,0.0,0.0,76 days 00:00:00.000000000
71,1009,2015-06-23,2015-11-02,253.67999999999998,1074.0,572.32,0.0,0.0,132 days 00:00:00.000000000
72,1009,2016-04-26,2017-05-29,115.37,1041.34,1803.3899999999999,1316.4700000000003,867.8100000000001,398 days 00:00:00.000000000
73,1009,2017-11-21,2017-12-25,92.48,407.52,0.0,0.0,0.0,34 days 00:00:00.000000000
74,1011,2010-04-06,2010-05-03,0.0,400.0,0.0,0.0,0.0,27 days 00:00:00.000000000
75,1011,2010-07-06,2013-03-25,258.57000000000005,1519.49,2435.2999999999997,5471.970000000001,0.46,993 days 00:00:00.000000000
76,1011,2013-05-28,2013-07-08,243.62,356.38,0.0,0.0,0.0,41 days 00:00:00.000000000
77,1011,2013-11-05,2013-12-30,242.36,555.3000000000001,2.34,0.0,0.0,55 days 00:00:00.000000000
78,1011,2014-07-08,2014-07-21,178.82,21.18,0.0,0.0,0.0,13 days 00:00:00.000000000
