,fips,valid_start,valid_end,none,d0,d1,d2,d3,d4,diff
43,1007,2010-07-13,2010-07-26,86.47,13.530000000000001,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
44,1007,2010-08-17,2010-12-06,98.5,156.66,144.84,0.0,0.0,0.0,111 days 00:00:00.000000000
45,1007,2010-12-28,2011-03-28,487.21000000000004,712.65,100.14,0.0,0.0,0.0,90 days 00:00:00.000000000
46,1007,2011-05-24,2012-01-23,17.336000000000006,251.45199999999994,140.732,221.61399999999995,68.862,0.0,244 days 00:00:00.000000000
47,1007,2012-05-01,2012-10-01,107.25499999999998,205.28750000000002,237.45749999999998,0.0,0.0,0.0,153 days 00:00:00.000000000
48,1007,2012-11-13,2012-12-31,398.23999999999995,250.45000000000002,51.309999999999995,0.0,0.0,0.0,48 days 00:00:00.000000000
49,1007,2013-06-11,2013-07-15,47.775999999999996,52.224000000000004,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
50,1007,2013-09-17,2013-10-07,72.39333333333333,27.606666666666666,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
51,1007,2013-10-22,2013-11-04,94.04,5.96,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
52,1007,2014-03-11,2014-04-07,99.95,0.05,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
53,1007,2014-07-15,2014-12-29,10.19,183.71166666666667,206.09833333333336,0.0,0.0,0.0,167 days 00:00:00.000000000
54,1007,2015-06-16,2015-11-09,300.6933333333333,370.28333333333336,29.02333333333333,0.0,0.0,0.0,146 days 00:00:00.000000000
55,1007,2016-05-17,2017-05-22,131.53000000000003,329.08400000000006,235.17999999999998,157.54399999999995,138.992,67.67,370 days 00:00:00.000000000
56,1007,2017-10-03,2017-10-09,69.71000000000001,30.29,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
57,1007,2017-10-17,2018-01-01,80.46400000000001,138.022,1.514,0.0,0.0,0.0,76 days 00:00:00.000000000
58,1009,2010-04-20,2010-04-26,99.72,0.28,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
59,1009,2010-09-07,2011-03-28,1.6940000000000008,231.89199999999997,343.64,2.7660000000000005,0.0,0.0,202 days 00:00:00.000000000
60,1009,2011-06-07,2011-07-18,18.243333333333336,81.75666666666666,0.0,0.0,0.0,0.0,41 days 00:00:00.000000000
61,1009,2011-08-30,2011-09-05,0.010000000000005116,99.99,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
62,1009,2011-11-08,2011-11-28,97.51333333333334,2.486666666666667,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
63,1009,2012-04-24,2012-06-11,54.81,645.19,0.0,0.0,0.0,0.0,48 days 00:00:00.000000000
64,1009,2012-06-26,2012-09-03,38.58,148.04250000000002,62.410000000000004,0.9675,0.0,0.0,69 days 00:00:00.000000000
65,1009,2012-12-04,2012-12-31,89.01499999999997,10.985000000000001,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
66,1009,2013-10-22,2013-12-09,15.11,485.42999999999995,199.46,0.0,0.0,0.0,48 days 00:00:00.000000000
67,1009,2014-01-28,2014-02-03,84.77,15.23,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
68,1009,2014-06-03,2014-06-09,91.19,8.81,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
69,1009,2014-07-29,2014-11-17,65.2425,304.97249999999997,29.785,0.0,0.0,0.0,111 days 00:00:00.000000000
70,1009,2015-02-10,2015-04-27,147.37599999999998,72.62400000000001,0.0,0.0,0.0,0.0,76 days 00:00:00.000000000
71,1009,2015-06-23,2015-11-02,253.67999999999998,1074.0,572.32,0.0,0.0,0.0,132 days 00:00:00.000000000
72,1009,2016-04-26,2017-05-29,38.45666666666667,347.1133333333333,601.13,438.82333333333344,185.21,289.27000000000004,398 days 00:00:00.000000000
73,1009,2017-11-21,2017-12-25,18.496000000000002,81.50399999999999,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
74,1011,2010-04-06,2010-05-03,0.0,100.0,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
75,1011,2010-07-06,2013-03-25,64.64250000000001,379.8725,608.8249999999999,1367.9925000000003,1128.5524999999998,0.115,993 days 00:00:00.000000000
76,1011,2013-05-28,2013-07-08,40.60333333333333,59.39666666666667,0.0,0.0,0.0,0.0,41 days 00:00:00.000000000
77,1011,2013-11-05,2013-12-30,121.18,277.65000000000003,1.17,0.0,0.0,0.0,55 days 00:00:00.000000000
78,1011,2014-07-08,2014-07-21,89.41,10.59,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
79,1011,2014-07-29,2015-01-05,284.6180000000001,175.382,0.0,0.0,0.0,0.0,160 days 00:00:00.000000000
80,1011,2015-01-20,2015-06-01,922.2299999999999,963.01,14.76,0.0,0.0,0.0,132 days 00:00:00.000000000
81,1011,2015-07-21,2015-09-28,157.70000000000002,92.29999999999997,0.0,0.0,0.0,0.0,69 days 00:00:00.000000000
82,1011,2015-10-20,2015-11-02,98.04,1.96,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
83,1011,2015-12-15,2015-12-21,35.120000000000005,64.88,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
84,1011,2016-06-28,2016-08-08,76.39166666666667,23.60833333333333,0.0,0.0,0.0,0.0,41 days 00:00:00.000000000
85,1011,2016-08-16,2017-02-27,181.40000000000003,96.61749999999996,119.75750000000001,140.58249999999998,160.1225,1.5225,195 days 00:00:00.000000000
86,1011,2017-03-28,2017-06-12,35.962,84.038,100.0,0.0,0.0,0.0,76 days 00:00:00.000000000
87,1011,2017-12-26,2018-01-01,3.86,96.14,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
88,1013,2010-04-06,2010-05-03,0.0,100.0,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
89,1013,2010-07-06,2012-09-03,94.86799999999998,367.852,891.0539999999997,763.114,143.11399999999998,0.0,790 days 00:00:00.000000000
90,1013,2012-10-23,2013-02-25,47.166666666666664,134.28666666666666,118.5466666666667,0.0,0.0,0.0,125 days 00:00:00.000000000
91,1013,2013-05-28,2013-07-01,36.528,63.472,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
92,1013,2013-10-29,2014-01-13,32.782,131.23200000000003,55.98599999999999,0.0,0.0,0.0,76 days 00:00:00.000000000
93,1013,2014-01-28,2014-02-17,62.623333333333335,37.37666666666667,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
94,1013,2014-03-11,2014-04-07,99.13,0.87,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
95,1013,2014-07-29,2015-06-01,804.895,1328.7999999999995,66.25500000000001,0.05,0.0,0.0,307 days 00:00:00.000000000
96,1013,2015-07-21,2015-11-09,169.40500000000003,220.38,10.215,0.0,0.0,0.0,111 days 00:00:00.000000000
97,1013,2016-09-06,2017-02-27,750.24,633.3900000000001,452.77000000000004,207.33999999999997,456.26,0.0,174 days 00:00:00.000000000
98,1013,2017-03-21,2017-05-22,122.39333333333333,170.63666666666666,6.97,0.0,0.0,0.0,62 days 00:00:00.000000000
99,1013,2017-11-28,2018-01-01,45.39,54.61,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
100,1015,2010-07-06,2011-03-28,344.57,513.9849999999999,1026.0750000000003,15.38,0.0,0.0,265 days 00:00:00.000000000
101,1015,2011-05-17,2011-07-25,49.00749999999999,196.545,4.4475,0.0,0.0,0.0,69 days 00:00:00.000000000
102,1015,2011-08-02,2011-11-28,115.49600000000002,183.44,41.063999999999986,0.0,0.0,0.0,118 days 00:00:00.000000000
103,1015,2011-12-13,2012-01-16,99.29,0.71,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
104,1015,2012-02-14,2012-02-20,99.38,0.62,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
105,1015,2012-03-20,2013-02-04,123.08749999999999,227.36999999999998,513.2075000000001,284.6449999999999,1.7125,0.0,321 days 00:00:00.000000000
106,1015,2013-10-29,2013-11-25,97.2575,2.7425,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
107,1015,2014-03-04,2014-04-07,99.61800000000001,0.38199999999999995,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
108,1015,2014-07-15,2014-12-29,200.85,198.09000000000003,1.0600000000000003,0.0,0.0,0.0,167 days 00:00:00.000000000
109,1015,2015-06-23,2015-07-06,34.57,65.43,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
110,1015,2015-07-14,2015-11-02,83.41000000000001,316.5900000000001,0.0,0.0,0.0,0.0,111 days 00:00:00.000000000
111,1015,2016-05-03,2017-05-22,42.11999999999999,623.48,1643.2400000000005,1635.0899999999997,400.77,1155.31,384 days 00:00:00.000000000
112,1015,2017-11-28,2018-01-01,58.105999999999995,41.894,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
113,1017,2010-04-20,2010-04-26,8.75,91.25,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
114,1017,2010-07-06,2013-03-25,13.187500000000004,169.57250000000002,354.40499999999986,1164.6400000000003,1617.6824999999997,230.5125,993 days 00:00:00.000000000
115,1017,2013-11-05,2013-12-23,36.43000000000001,663.5699999999999,0.0,0.0,0.0,0.0,48 days 00:00:00.000000000
116,1017,2014-03-04,2014-04-07,46.23599999999999,53.763999999999996,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
117,1017,2014-07-15,2015-01-05,113.9700000000001,1326.1000000000001,1059.93,0.0,0.0,0.0,174 days 00:00:00.000000000
118,1017,2015-01-20,2015-06-15,181.85333333333332,518.1466666666668,0.0,0.0,0.0,0.0,146 days 00:00:00.000000000
119,1017,2015-07-21,2015-08-31,83.36000000000001,16.47666666666667,0.16333333333333333,0.0,0.0,0.0,41 days 00:00:00.000000000
120,1017,2015-10-13,2015-11-02,24.72,75.28,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
121,1017,2015-12-15,2015-12-21,25.90000000000001,74.1,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
122,1017,2016-05-17,2017-05-29,28.386666666666667,214.00666666666663,238.34000000000003,197.10666666666665,71.47666666666667,150.68166666666664,377 days 00:00:00.000000000
123,1017,2017-12-26,2018-01-01,31.099999999999994,68.9,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
124,1019,2010-07-06,2011-03-28,63.04,750.5600000000002,1075.175,11.225,0.0,0.0,265 days 00:00:00.000000000
125,1019,2011-05-24,2011-11-28,533.4233333333333,328.1466666666668,38.24999999999999,0.18000000000000002,0.0,0.0,188 days 00:00:00.000000000
126,1019,2012-03-20,2013-02-04,261.1500000000001,551.1300000000002,318.50250000000017,19.235000000000003,0.0,0.0,321 days 00:00:00.000000000
127,1019,2013-10-29,2013-11-25,77.535,22.465,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
